name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,sunshine
London,2018-10-06,13.0,9.1,10.9,13.0,6.0,10.0,9.4,90.9,10.013,100,8.33,rain,0.0,0.0,48.2,23.0,18.6,1011.5,77.8,11.7,11.1,0.9,0,,2018-10-06T07:09:04,2018-10-06T18:27:18,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D6143,03772099999,03770099999",11.3
London,2018-10-07,14.5,6.6,9.9,14.5,4.3,8.7,5.0,72.3,0.2,100,4.17,rain,0.0,0.0,37.1,21.4,355.0,1022.2,32.7,30.9,75.3,6.4,5,,2018-10-07T07:10:44,2018-10-07T18:25:03,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999",11.2
London,2018-10-08,16.1,7.6,11.7,16.1,6.6,11.4,7.2,74.2,0.0,0,0.0,,0.0,0.0,,20.3,228.4,1021.4,57.7,32.5,44.7,3.8,2,,2018-10-08T07:12:24,2018-10-08T18:22:50,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,AR120,03772099999,03770099999",11.2
London,2018-10-09,21.1,9.1,14.4,21.1,8.1,14.4,9.8,76.0,0.0,0,0.0,,0.0,0.0,,19.1,200.0,1018.6,22.1,24.1,67.9,5.9,5,,2018-10-09T07:14:04,2018-10-09T18:20:37,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,AR120,03772099999,03770099999",11.1
London,2018-10-10,22.6,11.1,16.0,22.6,11.1,16.0,12.7,82.2,0.0,0,0.0,,0.0,0.0,35.3,18.8,98.0,1012.7,8.0,13.1,64.7,5.5,5,,2018-10-10T07:15:44,2018-10-10T18:18:24,0.04,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999",11.0
London,2018-10-11,21.5,14.8,17.5,21.5,14.8,17.5,13.5,77.7,0.008,100,4.17,rain,0.0,0.0,46.4,25.2,173.5,1004.6,64.0,22.6,61.5,5.3,4,,2018-10-11T07:17:25,2018-10-11T18:16:12,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999",11.0
London,2018-10-12,21.0,14.6,18.3,21.0,14.6,18.3,12.1,68.5,0.408,100,4.17,rain,0.0,0.0,63.9,37.8,194.5,1009.7,69.0,24.4,56.7,5.0,3,,2018-10-12T07:19:06,2018-10-12T18:14:01,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999",10.9
London,2018-10-13,23.8,19.6,21.4,23.8,19.6,21.4,14.4,64.3,0.005,100,4.17,rain,0.0,0.0,51.8,28.4,190.6,1009.8,64.2,29.4,50.0,4.4,3,,2018-10-13T07:20:47,2018-10-13T18:11:50,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999",10.9
London,2018-10-14,20.0,10.6,14.1,20.0,10.6,14.1,12.0,87.4,7.026,100,12.5,rain,0.0,0.0,42.5,20.4,2.4,1006.6,85.4,15.1,7.7,0.7,0,,2018-10-14T07:22:28,2018-10-14T18:09:41,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999",10.8
London,2018-10-15,14.5,10.8,13.0,14.5,10.8,13.0,12.2,94.8,19.238,100,12.5,rain,0.0,0.0,,16.4,41.6,1010.8,97.0,6.4,13.7,1.1,1,,2018-10-15T07:24:10,2018-10-15T18:07:32,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999",10.7
